parkname,rum_mean_per_trip,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mdcev_mean_per_person,std.dev,ci_lo2.5%,ci_hi97.5%,rum_annual_total,mdcev_annual_total,difference,year
Manana Trail,-3.758498436223708,2.4169683572499134,-3.8596812520230106,-3.6573156204244057,-8238.628572202368,13,-0.37677036384047763,0.05525660326109788,-0.4840599955618839,-0.2996019276539278,-6348.103858781843,-507.88645045696387,-5840.217408324879,2021
Peacock Flats Campsite,-73.16128430529596,46.66090493165104,-75.11467427606911,-71.20789433452282,-160369.53519720875,14,-20.369070450109938,0.8638979029803218,-22.102355517563375,-18.946096222482602,-123569.40919164488,-27457.506966748195,-96111.90222489668,2021
Sugi Grove,-7.5593280613228195,11.406381709994466,-8.036839409800754,-7.081816712844885,-16570.047110419622,15,-2.72706677376119,0.3387791361703204,-3.4065210167507085,-2.149263442934391,-12767.705095574242,-3676.086011030084,-9091.619084544158,2021
Waialae Cabin Campsite,-1.176932188185696,1.7268774358767682,-1.2492253652883964,-1.1046390110829956,-2579.8353565030457,16,-0.5436030996001285,0.13412842378140372,-0.7827864521027105,-0.3118555011536275,-1987.8384658456405,-732.7769782609732,-1255.0614875846672,2021
Waikoali,-6.365670631746161,9.566100987836142,-6.766141341785195,-5.965199921707127,-13953.550024787584,17,-2.2235637776000243,0.2508184652372807,-2.68085457890971,-1.8310538623810022,-10751.617697019266,-2997.363972204833,-7754.253724814434,2021
Waikolu,-0.5499767934063338,0.7676086955548242,-0.5821115993980184,-0.5178419874146492,-1205.5491311466835,18,-0.37973224868933136,0.1661131515073871,-0.8162160892539526,-0.20880852368672642,-928.9108040632977,-511.87907123321867,-417.0317328300791,2021
Waimano Trail,-1.9322674226704246,1.247363254842063,-1.9844864457581368,-1.8800483995827124,-4235.53019049357,19,-0.20981625524798395,0.033013549182564134,-0.27858539950832706,-0.1497804333932296,-3263.5996768903474,-282.83231207428236,-2980.767364816065,2021
Waimanu Campsite,-31.39795622557324,78.12884006347227,-34.668704892614265,-28.127207558532216,-68824.32004645655,20,-12.726913614609805,1.023110043082555,-14.620658520545495,-11.038739617901342,-53031.1480649932,-17155.879552494018,-35875.268512499184,2021
Wiliwili,-2.887858460777365,4.186319190108571,-3.0631125398054437,-2.7126043817492866,-6330.185746023984,21,-1.7179892913742576,0.3339509469938637,-2.4722826955199597,-1.2672882637849305,-4877.59294025297,-2315.8495647724994,-2561.7433754804706,2021
Wiliwilinui Ridge Trail,-0.8929639534404736,0.6322635142505417,-0.9194327330201219,-0.8664951738608254,-1957.3769859415181,22,-0.19424643456446156,0.058675138917469456,-0.31168857438667197,-0.10486272796128097,-1508.21611736096,-261.8441937928942,-1246.3719235680658,2021
