parkname,mean_cv_rum,std_dev_rum,ci_lo_2.5_rum,ci_hi_97.5_rum,rum_total_annual_loss,parkname_numeric,mean,std.dev,ci_lo2.5%,ci_hi97.5%,year
Keanakolu Ranger & Bunkhouse Cabins,-3.9278305888003855,10.174649955520865,-4.397093980495154,-3.4585671971056167,-7093.662043373496,7,-1.3236709392141204,0.25016623955867706,-1.7353610035340723,-0.9440475881121722,2023
Kuaokala Trail,-20.22953116917361,13.858341625664444,-20.868689511028446,-19.590372827318777,-36534.53329152754,8,-5.994211904511371,0.41608635881938,-6.816159447294963,-5.3033146394910435,2023
Kulanaahane Trail,-0.8696713194789039,0.6277527016352725,-0.8986238007143963,-0.8407188382434114,-1570.6264029789004,9,-0.08002588624461483,0.029728375027772345,-0.14257831424458886,-0.034028655962077825,2023
Kuliouou Trail,-3.2080986763853203,2.668437683099153,-3.331169260943149,-3.0850280918274917,-5793.8262095518885,10,-0.3052947355961396,0.04628107492127888,-0.40299168250777245,-0.23992317027026067,2023
Lonomea,-8.422257847694297,10.985546001086307,-8.92892044528975,-7.915595250098844,-15210.5976729359,11,-4.69072643513115,0.41049591750977527,-5.398828038016696,-4.117815315998291,2023
Manana Trail,-4.594490769381233,3.220469790440567,-4.743021537841986,-4.44596000092048,-8297.650329502507,12,-0.5660020199351998,0.0857701668888961,-0.7306217258829912,-0.42383967427660174,2023
Peacock Flats Campsite,-75.9772245279808,52.789738072568454,-78.41193153440418,-73.54251752155741,-137214.86749753333,13,-20.594336133994922,1.1113142553882704,-22.40313560719385,-17.93934511970051,2023
Sugi Grove,-8.707026352018438,11.450608309364585,-9.235138013423073,-8.178914690613803,-15724.8895917453,14,-3.3932830237906235,0.3960746416822923,-4.247230272362447,-2.8453421213981924,2023
Waialae Cabin Campsite,-1.2738976796533783,1.619694666229092,-1.348599356458699,-1.1991960028480575,-2300.659209454001,15,-0.6988708085867511,0.1302214157721538,-0.9596721657786539,-0.48064100577973523,2023
Waikoali,-6.790762051825129,8.872167561020929,-7.199953862803343,-6.381570240846915,-12264.116265596183,16,-2.961385023717227,0.3645379064904423,-3.558053004682314,-2.4131043476390035,2023
Waikolu,-1.2076647948800932,2.7387314591194003,-1.3339773873590293,-1.081352202401157,-2181.0426195534483,17,-1.3401368628445416,0.3662545635490504,-2.079571000607018,-0.8304350804475487,2023
Waimano Trail,-1.5070686267071174,1.0598990477161883,-1.555952059961298,-1.4581851934529368,-2721.765939833054,18,-0.3930460788194095,0.07197966568775377,-0.5270607079085892,-0.26823702286115036,2023
Waimanu Campsite,-10.639140773667501,28.4733219240984,-11.95235426772676,-9.325927279608242,-19214.288237243505,19,-4.152518379874952,0.4643359672028321,-5.050092734759546,-3.3871272036817675,2023
Wiliwili,-1.9213764876463413,2.396806185302741,-2.0319191996479344,-1.8108337756447481,-3470.0059366892924,20,-1.208309726639487,0.2989672002494156,-1.8068747043385076,-0.8082496144501903,2023
Wiliwilinui Ridge Trail,-1.0290948817492884,0.8209556579398932,-1.0669580454119212,-0.9912317180866558,-1858.5453564392149,21,-0.08489971855762694,0.0225833659739165,-0.13241127354102672,-0.05347225195493072,2023
